Oxford Radcliffe - mean monthly temperature °C (mean of maximum and minimum),,,,,,,,,,,,,,,,,,,,Updated to Dec 2025 data
,Includes seasonal corrections 1815-52,,,,,,"except 1814 - 3 daily obs, adjusted diurnally",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
YYYY,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec, Annual,YYYY,Winter,Spring,Summer,Autumn,,
1811,,,,,,,,,,,,,,1811,,,,,,
1812,,,,,,,,,,,,,,1812,,,,,,
1813,,,,,,,,,,,,2.89,,1813,,,,,,
1814,-2.58,1.71,3.19,10.56,10.33,13.02,17.08,15.85,13.2,8.83,5.36,5.49,8.5,1814,0.67,8.03,15.32,9.13,,
1815,-1.48,4.5,5.11,7.51,13.77,15.36,15.83,16.38,13.73,8.14,0.85,0.94,8.41,1815,2.67,8.8,15.86,7.57,,
1816,0.73,0.59,3.7,6.43,10.2,13.54,14.65,14.34,12.75,10.66,3.19,2.64,7.81,1816,0.75,6.78,14.18,8.86,,
1817,4.09,6.17,5.43,6.35,8.97,16.16,15.25,14.48,13.86,7.35,8.25,2.51,9.07,1817,4.3,6.92,15.3,9.82,,
1818,4.56,2.31,4.85,7.59,11.21,17.83,19.25,16.38,14.06,12.64,7.56,2.22,10.08,1818,3.13,7.88,17.82,11.42,,
1819,3.7,3.73,6.25,9.11,12.83,14.59,17.54,18.56,14.3,9.57,3.86,1.02,9.63,1819,3.22,9.4,16.9,9.24,,
1820,-1.14,2.13,4.65,9.44,12.52,15.14,16.54,15.99,12.79,8.42,4.84,3.67,8.77,1820,0.67,8.87,15.89,8.68,,
1821,2.57,1.17,5.63,9.89,10.26,12.14,15.26,17.31,15.9,10.6,8.41,6.26,9.67,1821,2.47,8.6,14.9,11.64,,
1822,4.15,6,8.04,8.36,13.14,18.22,17.61,16.59,13.21,10.88,8.07,0.51,10.42,1822,5.47,9.85,17.47,10.72,,
1823,-1.13,2.95,4.76,7.2,12.72,13.59,15.44,16.3,12.72,8.47,6.57,4.58,8.71,1823,0.78,8.23,15.11,9.25,,
1824,3.13,4.12,4.69,7.28,10.88,14.1,16.67,16.77,14.69,10.43,7.2,5.46,9.63,1824,3.94,7.62,15.85,10.77,,
1825,4,3.74,4.76,9.74,12.25,15.19,17.83,17.43,15.93,11.08,5.31,4.45,10.18,1825,4.4,8.92,16.82,10.77,,
1826,-0.24,6.37,5.88,9.46,10.91,17.71,19.25,19.2,14.82,11.94,4.57,5.91,10.5,1826,3.53,8.75,18.72,10.44,,
1827,0.85,-0.26,6.29,9.15,11.58,13.84,16.99,14.84,14.57,11.53,7.08,6.58,9.48,1827,2.17,9.01,15.22,11.06,,
1828,4.79,5.12,6.56,9.11,13.21,16.72,17.39,15.78,14.94,10.41,7.4,7.06,10.72,1828,5.5,9.63,16.63,10.92,,
1829,-0.26,4.41,4.12,8.08,12.72,15.5,16.21,15.57,11.92,8.14,3.32,-0.22,8.31,1829,3.74,8.31,15.76,7.8,,
1830,-1.26,1.17,7.35,8.68,11.75,13.3,17.53,15.07,13.01,11,7.55,1.65,8.95,1830,-0.1,9.26,15.3,10.52,,
1831,1.22,5.08,7.03,9.42,10.82,15.25,17.15,17.6,14.07,12.95,6.19,6.01,10.26,1831,2.65,9.09,16.67,11.07,,
1832,2.97,3.31,5.88,8.91,11.69,15.66,16.2,15.98,13.58,10.89,6.53,5.01,9.74,1832,4.1,8.83,15.94,10.34,,
1833,1.57,5.85,3.65,8.14,14.24,15.11,15.43,14.09,11.94,10.31,6.34,6.7,9.47,1833,4.15,8.67,14.88,9.53,,
1834,6.63,5.09,6.78,7.81,13.38,15.91,17.82,16.49,14.54,10.28,6.28,4.94,10.53,1834,6.14,9.32,16.74,10.37,,
1835,3.33,5.68,5.54,8.6,11.57,14.84,17.1,16.77,13.57,9.11,6.41,2.23,9.58,1835,4.65,8.57,16.24,9.69,,
1836,3.17,2.99,6.17,7.12,10.57,15.81,16.65,15.36,12.24,8.76,5.53,4,9.05,1836,2.79,7.95,15.94,8.85,,
1837,2.64,4.73,2,4.58,9.72,15.21,17.03,16.11,12.93,10.4,4.88,4.92,8.79,1837,3.79,5.43,16.12,9.4,,
1838,-2.38,0.33,5.3,6.78,10.91,14.87,15.6,15.1,12.43,10.14,4.42,3.7,8.15,1838,0.95,7.66,15.19,9,,
1839,3.21,3.81,4.28,5.97,9.91,14.39,15.49,14.89,13.05,9.21,6.99,3.83,8.78,1839,3.57,6.72,14.92,9.75,,
1840,3.71,3.29,3.51,9.51,12.74,16.19,15.25,16.78,11.23,7.37,5.44,-0.17,8.75,1840,3.61,8.59,16.07,8.02,,
1841,0.5,1.42,7.57,7.98,14.05,14.4,15.07,15.28,14.2,9.19,5.1,4.16,9.12,1841,0.58,9.87,14.92,9.49,,
1842,-0.1,4.2,6.85,7.44,11.53,16.59,15.34,18.14,13.69,7.39,5.89,6.66,9.49,1842,2.75,8.6,16.69,8.99,,
1843,4.28,1.8,6.13,9.02,11.08,13.42,16.04,16.72,15.24,8.78,6.09,6.96,9.68,1843,4.24,8.74,15.39,10.04,,
1844,3.72,1.62,5.41,10.42,11.37,15.97,16.37,14.15,13.78,9.55,6.07,0.4,9.08,1844,4.1,9.07,15.49,9.8,,
